"ид_канала_данных","тип_инж_системы","тип_датчика","тег_инженерной_системы","название_датчика","ид_объект"
197337,Пожарная охрана,Состояние УИР-Р,"257-6.1.146.4095.",УИР-Р ПК66 ур.3,3356
197336,Пожарная охрана,Состояние УИР-Р,"257-6.1.145.4095.",УИР-Р ПК66 ур.3,3356
197338,Пожарная охрана,Состояние УИР-Р,"257-6.1.147.4095.",УИР-Р ПК66 ур.2,3356
197335,Пожарная охрана,Состояние УИР-Р,"257-6.1.144.4095.",УИР-Р ПК66,3356
197339,Пожарная охрана,Состояние УИР-Р,"257-6.1.148.4095.",УИР-Р ПК65,3356
197334,Пожарная охрана,Состояние УИР-Р,"257-6.1.143.4095.",УИР-Р ПК75,3356
197333,Пожарная охрана,Состояние УИР-Р,"257-6.1.142.4095.",УИР-Р ур2 ПК77 ,3356
197329,Пожарная охрана,Состояние УИР-Р,"257-6.1.138.4095.",УИР-Р ПК77 ур.5,3356
197330,Пожарная охрана,Состояние УИР-Р,"257-6.1.139.4095.",УИР-Р э/щ №1 ПК77,3356
197331,Пожарная охрана,Состояние УИР-Р,"257-6.1.140.4095.",УИР-Р ПК77 ур.4,3356
197332,Пожарная охрана,Состояние УИР-Р,"257-6.1.141.4095.",УИР-Р ПК77 ур.3,3356
197328,Пожарная охрана,Состояние УИР-Р,"257-6.1.137.4095.",УИР-Р ПК85,3356
197327,Пожарная охрана,Состояние УИР-Р,"257-6.1.136.4095.",УИР-Р ПК85 ур.2,3356
197326,Пожарная охрана,Состояние УИР-Р,"257-6.1.135.4095.",УИР-Р АВ ПК85 ур.2,3356
197375,Пожарная охрана,Состояние УИР-Р,"257-6.1.184.4095.",УИР-Р Г3 ПК3 ур.3,3356
197376,Пожарная охрана,Состояние УИР-Р,"257-6.1.185.4095.",УИР-Р Г3 ПК3 ур.1,3356
197378,Пожарная охрана,Состояние УИР-Р,"257-6.1.187.4095.",УИР-Р Г3 ПК2,3356
197377,Пожарная охрана,Состояние УИР-Р,"257-6.1.186.4095.",УИР-Р Г3 ПК2,3356
94152,Температурная подсистема,Датчик температуры,"257-2.1.169.255.",Темп. ПК50,3356
94158,Пожарная охрана,Датчик дыма,"257-2.1.173.7.",ДД ПК39 ур.3,3356
93997,Пожарная охрана,Тепловой датчик,"257-2.1.108.2.",ТД ПК168-170,3356
215728,Пожарная охрана,Датчик дыма,"257-2.1.200.7.",ДД ПК255 АВ,3356
215727,Пожарная охрана,Датчик дыма,"257-2.1.199.7.",ДД ПК255 ВШ,3356
93718,Пожарная охрана,Тепловой датчик,"257-1.1.188.1.",ТД ПК269 ур.2,3356
104034,Газовая охрана,Газовый датчик,"360-2.1.9.",ГАЗ Д9 ПК71,3360
104055,Газовая охрана,Газовый датчик,"360-3.1.9.",ГАЗ Д30 ПК210,3360
103940,Диспетчерский контроль,Состояние насоса,"360-1.1.12.2.",Н3 ПК161,3360
104018,Диспетчерский контроль,Переключатель,"360-1.1.26.8.",ФРО1 ПК20,3360
103971,Диспетчерский контроль,Переключатель,"360-1.1.18.8.",В12 ПК247,3360
103997,Диспетчерский контроль,Переключатель,"360-1.1.23.8.",ФРО ПК300,3360
104035,Газовая охрана,Газовый датчик,"360-2.1.10.",ГАЗ Д10 ПК83,3360
104056,Газовая охрана,Газовый датчик,"360-3.1.10.",ГАЗ Д31 ПК212,3360
104011,Диспетчерский контроль,Переключатель,"360-1.1.25.8.",ФАО1 ПК20,3360
103991,Диспетчерский контроль,Состояние фазы,"360-1.1.23.2.",ФРО ПК300,3360
104036,Газовая охрана,Газовый датчик,"360-2.1.11.",ГАЗ Д11 ПК85,3360
104057,Газовая охрана,Газовый датчик,"360-3.1.11.",ГАЗ Д32 ПК229,3360
104007,Диспетчерский контроль,Состояние фазы,"360-1.1.25.2.",ФАО1 ПК20,3360
103913,Диспетчерский контроль,Состояние фазы,"360-1.1.4.2.",ГРО3 (ПК47-57) ПК47,3360
104037,Газовая охрана,Газовый датчик,"360-2.1.12.",ГАЗ Д12 ПК87,3360
104058,Газовая охрана,Газовый датчик,"360-3.1.12.",ГАЗ Д33 ПК231,3360
103937,Диспетчерский контроль,Состояние насоса,"360-1.1.11.2.",Н1 ПК161 ,3360
104009,Диспетчерский контроль,Состояние фазы,"360-1.1.25.4.",ФАО2 ПК20,3360
103974,Диспетчерский контроль,Состояние вентилятора,"360-1.1.19.3.",В13 ПК281,3360
103910,Диспетчерский контроль,Состояние насоса,"360-1.1.3.2.",Н1 ПК47,3360
103976,Диспетчерский контроль,Переключатель,"360-1.1.19.8.",В13 ПК281,3360
104038,Газовая охрана,Газовый датчик,"360-2.1.13.",ГАЗ Д13 ПК96,3360
104059,Газовая охрана,Газовый датчик,"360-3.1.13.",ГАЗ Д34 ПК246,3360
103938,Диспетчерский контроль,Состояние насоса,"360-1.1.11.5.",Н2 ПК161,3360
104012,Диспетчерский контроль,Переключатель,"360-1.1.25.9.",ФАО2 ПК20,3360
103911,Диспетчерский контроль,Состояние насоса,"360-1.1.3.5.",Н2 ПК47,3360
104039,Газовая охрана,Газовый датчик,"360-2.1.14.",ГАЗ Д14 ПК108,3360
104060,Газовая охрана,Газовый датчик,"360-3.1.14.",ГАЗ Д35 ПК248,3360
103946,Диспетчерский контроль,Состояние вентилятора,"360-1.1.13.3.",В7 ПК173,3360
104004,Диспетчерский контроль,Переключатель,"360-1.1.24.8.",ФВ1 ПК20,3360
103975,Диспетчерский контроль,Состояние вентилятора,"360-1.1.19.5.",В14 ПК282,3360
103916,Диспетчерский контроль,Состояние вентилятора,"360-1.1.5.4.",В2 ПК57,3360
104040,Газовая охрана,Газовый датчик,"360-2.1.15.",ГАЗ Д15 ПК110,3360
104061,Газовая охрана,Газовый датчик,"360-3.1.15.",ГАЗ Д36 ПК265,3360
103948,Диспетчерский контроль,Переключатель,"360-1.1.13.8.",В7 ПК173,3360
104000,Диспетчерский контроль,Состояние фазы,"360-1.1.24.2.",ФВ1 ПК20,3360
103977,Диспетчерский контроль,Переключатель,"360-1.1.19.9.",В14 ПК282,3360
103918,Диспетчерский контроль,Переключатель,"360-1.1.5.8.",В2 ПК57,3360
104041,Газовая охрана,Газовый датчик,"360-2.1.16.",ГАЗ Д16 ПК111,3360
104062,Газовая охрана,Газовый датчик,"360-3.1.16.",ГАЗ Д37 ПК268,3360
103947,Диспетчерский контроль,Состояние вентилятора,"360-1.1.13.5.",В8 ПК173,3360
104002,Диспетчерский контроль,Состояние фазы,"360-1.1.24.4.",ФВ2 ПК20,3360
103917,Диспетчерский контроль,Состояние вентилятора,"360-1.1.5.6.",В3 ПК57,3360
104042,Газовая охрана,Газовый датчик,"360-2.1.17.",ГАЗ Д17 ПК120,3360
104063,Газовая охрана,Газовый датчик,"360-3.1.17.",ГАЗ Д38 ПК283,3360
103949,Диспетчерский контроль,Переключатель,"360-1.1.13.9.",В8 ПК173,3360
104005,Диспетчерский контроль,Переключатель,"360-1.1.24.9.",ФВ2 ПК20,3360
103979,Диспетчерский контроль,Состояние насоса,"360-1.1.20.2.",Н1 ПК293,3360
103919,Диспетчерский контроль,Переключатель,"360-1.1.5.9.",В3 ПК57,3360
104043,Газовая охрана,Газовый датчик,"360-2.1.18.",ГАЗ Д18 ПК122,3360
104064,Газовая охрана,Газовый датчик,"360-3.1.18.",ГАЗ Д39 ПК284,3360
103945,Диспетчерский контроль,Состояние фазы,"360-1.1.13.2.",ГРО10 (ПК172-194) ПК172,3360
103954,Диспетчерский контроль,Состояние насоса,"360-1.1.15.2.",Н1 ПК205,3360
103980,Диспетчерский контроль,Состояние насоса,"360-1.1.20.5.",Н2 ПК293,3360
103915,Диспетчерский контроль,Состояние фазы,"360-1.1.5.3.",ГРО4 (ПК57-85) ПК57,3360
104044,Газовая охрана,Газовый датчик,"360-2.1.19.",ГАЗ Д19 ПК134,3360
104065,Газовая охрана,Газовый датчик,"360-3.1.19.",ГАЗ Д40 ПК294 гал.ПК2,3360
103951,Диспетчерский контроль,Состояние насоса,"360-1.1.14.2.",Н1 ПК186,3360
103955,Диспетчерский контроль,Состояние насоса,"360-1.1.15.5.",Н2 ПК205,3360
103922,Диспетчерский контроль,Состояние вентилятора,"360-1.1.6.3.",В4 ПК85,3360
103923,Диспетчерский контроль,Переключатель,"360-1.1.6.8.",В4 ПК85,3360
104045,Газовая охрана,Газовый датчик,"360-2.1.20.",ГАЗ Д20 ПК145,3360
104066,Газовая охрана,Газовый датчик,"360-3.1.20.",ГАЗ Д41 ПК298,3360
103952,Диспетчерский контроль,Состояние насоса,"360-1.1.14.5.",Н2 ПК186,3360
103960,Диспетчерский контроль,Состояние вентилятора,"360-1.1.16.6.",В10 ПК210,3360
103904,Диспетчерский контроль,Состояние вентилятора,"360-1.1.1.2.",В1 ПК3,3360
104046,Газовая охрана,Газовый датчик,"360-2.1.21.",ГАЗ Д21 ПК157,3360
103928,Диспетчерский контроль,Состояние фазы,"360-1.1.8.2.",ГРО6 (ПК104-121) ПК104,3360
103907,Диспетчерский контроль,Состояние фазы,"360-1.1.2.2.","ГРО1 (ПК0-20, ПК20 Г.ДП ПК0-5) ПК20",3360
103962,Диспетчерский контроль,Переключатель,"360-1.1.16.9.",В10 ПК210,3360
103905,Диспетчерский контроль,Переключатель,"360-1.1.1.8.",В1 ПК3,3360
103921,Диспетчерский контроль,Состояние фазы,"360-1.1.6.2.",ГРО5 (ПК85-104) ПК86,3360
104026,Газовая охрана,Газовый датчик,"360-2.1.1.",ГАЗ Д1 ПК4 ,3360
104047,Газовая охрана,Газовый датчик,"360-3.1.1.",ГАЗ Д22 ПК159+5,3360
103925,Диспетчерский контроль,Состояние насоса,"360-1.1.7.2.",Н1 ПК104,3360
103908,Диспетчерский контроль,Состояние фазы,"360-1.1.2.3.",ГРО2 (ПК20-47) ПК20,3360
103959,Диспетчерский контроль,Состояние вентилятора,"360-1.1.16.4.",В9 ПК210,3360
103988,Диспетчерский контроль,Переключатель,"360-1.1.22.8.",ФАНС2 ПК300,3360
104027,Газовая охрана,Газовый датчик,"360-2.1.2.",ГАЗ Д2 ПК20,3360
104048,Газовая охрана,Газовый датчик,"360-3.1.2.",ГАЗ Д23 ПК162,3360
103926,Диспетчерский контроль,Состояние насоса,"360-1.1.7.5.",Н2 ПК104,3360
104024,Диспетчерский контроль,Переключатель,"360-1.1.27.8.",ФАНС1 ПК20,3360
103961,Диспетчерский контроль,Переключатель,"360-1.1.16.8.",В9 ПК210,3360
103984,Диспетчерский контроль,Состояние фазы,"360-1.1.22.2.",ФАНС2 ПК300,3360
104028,Газовая охрана,Газовый датчик,"360-2.1.3.",ГАЗ Д3 ПК28,3360
104049,Газовая охрана,Газовый датчик,"360-3.1.3.",ГАЗ Д24 ПК172,3360
103931,Диспетчерский контроль,Состояние вентилятора,"360-1.1.9.3.",В5 ПК121,3360
104020,Диспетчерский контроль,Состояние фазы,"360-1.1.27.2.",ФАНС1 ПК20,3360
103957,Диспетчерский контроль,Состояние фазы,"360-1.1.16.2.","ГРО11 (ПК194-210, ПК200 Г.ПК0-12) ПК210",3360
103986,Диспетчерский контроль,Состояние фазы,"360-1.1.22.4.",ФВ ПК300,3360
104029,Газовая охрана,Газовый датчик,"360-2.1.4.",ГАЗ Д4 ПК30,3360
104050,Газовая охрана,Газовый датчик,"360-3.1.4.",ГАЗ Д25 ПК174,3360
103932,Диспетчерский контроль,Переключатель,"360-1.1.9.8.",В5 ПК121,3360
104022,Диспетчерский контроль,Состояние фазы,"360-1.1.27.4.",ФАНС2 ПК20,3360
103989,Диспетчерский контроль,Переключатель,"360-1.1.22.9.",ФВ ПК300,3360
104030,Газовая охрана,Газовый датчик,"360-2.1.5.",ГАЗ Д5 ПК43,3360
104051,Газовая охрана,Газовый датчик,"360-3.1.5.",ГАЗ Д26 ПК191,3360
103930,Диспетчерский контроль,Состояние фазы,"360-1.1.9.2.",ГРО7 (ПК121-140) ПК121,3360
104025,Диспетчерский контроль,Переключатель,"360-1.1.27.9.",ФАНС2 ПК20,3360
103965,Диспетчерский контроль,Состояние вентилятора,"360-1.1.17.3.",В11 ПК230,3360
104031,Газовая охрана,Газовый датчик,"360-2.1.6.",ГАЗ Д6 ПК45,3360
104052,Газовая охрана,Газовый датчик,"360-3.1.6.",ГАЗ Д27 ПК193,3360
103942,Диспетчерский контроль,Состояние вентилятора,"360-1.1.12.6.",В6 ПК162,3360
104016,Диспетчерский контроль,Состояние фазы,"360-1.1.26.4.",ЩАП 23 Ввод1 ПК20,3360
103966,Диспетчерский контроль,Переключатель,"360-1.1.17.8.",В11 ПК230,3360
104032,Газовая охрана,Газовый датчик,"360-2.1.7.",ГАЗ Д7 ПК56,3360
104053,Газовая охрана,Газовый датчик,"360-3.1.7.",ГАЗ Д28 ПК200,3360
103943,Диспетчерский контроль,Переключатель,"360-1.1.12.8.",В6 ПК162,3360
104017,Диспетчерский контроль,Состояние фазы,"360-1.1.26.5.",ЩАП 23 Ввод2 ПК20,3360
103993,Диспетчерский контроль,Состояние фазы,"360-1.1.23.4.",ФАО ПК300,3360
104033,Газовая охрана,Газовый датчик,"360-2.1.8.",ГАЗ Д8 ПК58,3360
104054,Газовая охрана,Газовый датчик,"360-3.1.8.",ГАЗ Д29 ПК200 гал.ПК11,3360
104014,Диспетчерский контроль,Состояние фазы,"360-1.1.26.2.",ФРО1 ПК20,3360
103970,Диспетчерский контроль,Состояние вентилятора,"360-1.1.18.4.",В12 ПК247,3360
103998,Диспетчерский контроль,Переключатель,"360-1.1.23.9.",ФАО ПК300,3360
321167,Диспетчерский контроль,Состояние фазы,"360-1.1.32.2.","ГРО 8
(ПК140-162) ПК162",3360
103995,Диспетчерский контроль,Состояние фазы,"360-1.1.23.6.",ЩАП 12 Ввод1 ПК300,3360
262944,Диспетчерский контроль,Состояние фазы,"360-1.1.31.4.",АВР Ввод1 ПК300,3360
262945,Диспетчерский контроль,Состояние фазы,"360-1.1.31.5.",АВР Ввод2 ПК300,3360
262943,Диспетчерский контроль,Состояние фазы,"360-1.1.31.2.",ФАНС1  ПК300,3360
262946,Диспетчерский контроль,Переключатель,"360-1.1.31.8.",ФАНС1 ПК300,3360
103996,Диспетчерский контроль,Состояние фазы,"360-1.1.23.7.",ЩАП 12 Ввод2 ПК300,3360
262947,Диспетчерский контроль,Состояние вентилятора,"360-1.1.31.6.",В ЭЩ ПК300,3360
262948,Диспетчерский контроль,Переключатель,"360-1.1.31.9.",В ЭЩ ПК300,3360
103941,Диспетчерский контроль,Состояние фазы,"360-1.1.12.5.",ГРО9 (ПК162-173) ПК162,3360
103964,Диспетчерский контроль,Состояние фазы,"360-1.1.17.2.",ГРО12 (ПК210-230) ПК230,3360
103968,Диспетчерский контроль,Состояние фазы,"360-1.1.18.2.",ГРО13 (ПК230-247) ПК247,3360
103969,Диспетчерский контроль,Состояние фазы,"360-1.1.18.3.",ГРО14 (ПК247-265) ПК247,3360
103973,Диспетчерский контроль,Состояние фазы,"360-1.1.19.2.",ГРО15 (ПК265-283) ПК283,3360
103982,Диспетчерский контроль,Состояние фазы,"360-1.1.21.2.","ГРО16 (ПК283-300, ПК294 Г.ПК0-5) ПК300",3360
96416,Диспетчерский контроль,Состояние фазы,"257-4.1.1.2.2.","Группа ГРО18 ПК228-238
",3388
98277,Газовая охрана,Газовый датчик,"257-3.3.1.1.11.",Газ зона 6 Д56-69 ПК372-445,3388
98278,Газовая охрана,Газовый датчик,"257-4.4.1.1.1.",Газ зона 1 Д1-9 ПК0-75,3388
98281,Газовая охрана,Газовый датчик,"257-4.4.1.1.4.",Газ зона 4 Д30-35 ПК196-268,3388
98282,Газовая охрана,Газовый датчик,"257-4.4.1.1.5.",Газ зона 5 Д36-55 ПК270-369,3388
98279,Газовая охрана,Газовый датчик,"257-4.4.1.1.2.",Газ зона 2 Д10-20 ПК84-143,3388
96220,Диспетчерский контроль,Состояние вентилятора,"257-4.1.1.3.17.",Вентилятор В21 ПК287,3388
96288,Диспетчерский контроль,Переключатель,"257-4.1.2.21.",Управление В21 ПК287,3388
95451,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.28.",ЩАП-23 Ввод1 Э/щ ПК371,3388
95452,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.29.",ЩАП-23 Ввод2 Э/щ ПК371,3388
95435,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.1.",ФАО1 (ПК371-305),3388
95436,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.2.",ФАО2 (ПК371-447),3388
95440,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.6.",Фидер ФВ1 (В22),3388
95449,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.24.",Фидер ФВ7 (В28),3388
95450,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.26.",Фидер ФВ8 (В29),3388
95443,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.12.",Фидер ФВ3 (В24),3388
95444,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.14.",Фидер ФВ4 (В25),3388
95445,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.16.",Фидер ФВ5 (В26),3388
95439,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.5.","Фидер ФАНС (АНС ПК341, ПК371)",3388
95437,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.3.",ФРО1 (ГРО23-26),3388
95438,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.4.",ФРО2 (ГРО27-31),3388
95448,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.22.",Фидер ФВ6 (В27),3388
95453,Диспетчерский контроль,Состояние вентилятора,"257-3.2.1.2.1.",Вентилятор В22 ПК320,3388
95457,Диспетчерский контроль,Состояние вентилятора,"257-3.2.1.2.9.",Вентилятор В23 ПК340,3388
95461,Диспетчерский контроль,Состояние вентилятора,"257-3.2.1.2.13.",Вентилятор В24 ПК340+5,3388
95465,Диспетчерский контроль,Состояние вентилятора,"257-3.2.1.2.17.",Вентилятор В25 ПК355,3388
95469,Диспетчерский контроль,Состояние вентилятора,"257-3.2.1.2.21.",Вентилятор В26 ПК371,3388
95473,Диспетчерский контроль,Состояние насоса,"257-3.2.1.3.3.",АНС Н1,3388
95474,Диспетчерский контроль,Состояние насоса,"257-3.2.1.3.6.",АНС Н2,3388
95475,Диспетчерский контроль,Состояние насоса,"257-3.2.1.3.9.",АНС Н3,3388
95477,Диспетчерский контроль,Состояние насоса,"257-3.2.1.3.15.",АНС Н1 ,3388
95476,Диспетчерский контроль,Состояние насоса,"257-3.2.1.3.12.",АНС Н2,3388
95478,Диспетчерский контроль,Состояние насоса,"257-3.2.1.3.18.",АНС Н3,3388
95479,Диспетчерский контроль,Состояние фазы,"257-3.2.1.3.19.","Группа ГРО23 ПК305-320
",3388
95480,Диспетчерский контроль,Состояние фазы,"257-3.2.1.3.20.",Группа ГРО24 ПК320-340,3388
95481,Диспетчерский контроль,Состояние фазы,"257-3.2.1.3.21.","Группа ГРО25 ПК340-355
",3388
95482,Диспетчерский контроль,Состояние фазы,"257-3.2.1.3.22.",Группа ГРО26 ПК355-371,3388
95483,Диспетчерский контроль,Состояние фазы,"257-3.2.1.3.23.",Группа ГРО27 ПК371-381,3388
95484,Диспетчерский контроль,Состояние фазы,"257-3.2.1.3.24.",Группа ГРО28 ПК381-391,3388
95485,Диспетчерский контроль,Состояние фазы,"257-3.2.1.3.25.",Группа ГРО29 ПК391-419,3388
95486,Диспетчерский контроль,Состояние фазы,"257-3.2.1.3.26.","Группа ГРО30 ПК419-432
",3388
95487,Диспетчерский контроль,Состояние фазы,"257-3.2.1.3.27.",Группа ГРО31 ПК432-447,3388
95488,Диспетчерский контроль,Состояние вентилятора,"257-3.2.1.4.1.",Вентилятор В27 ПК419,3388
95492,Диспетчерский контроль,Состояние вентилятора,"257-3.2.1.4.5.",Вентилятор В28 ПК432,3388
95496,Диспетчерский контроль,Состояние вентилятора,"257-3.2.1.4.9.",Вентилятор В29 ПК446,3388
95500,Диспетчерский контроль,Переключатель,"257-3.2.2.1.",Управление ФАО1 (ПК371-305),3388
95501,Диспетчерский контроль,Переключатель,"257-3.2.2.2.",Управление ФАО2 (ПК371-447),3388
95516,Диспетчерский контроль,Переключатель,"257-3.2.2.17.",Управление В22 ПК320,3388
95522,Диспетчерский контроль,Переключатель,"257-3.2.2.26.",Управление В28 ПК432,3388
95523,Диспетчерский контроль,Переключатель,"257-3.2.2.27.",Управление В29 ПК446,3388
95517,Диспетчерский контроль,Переключатель,"257-3.2.2.19.",Управление В23 ПК340,3388
95518,Диспетчерский контроль,Переключатель,"257-3.2.2.20.",Управление В24 ПК340+5,3388
95519,Диспетчерский контроль,Переключатель,"257-3.2.2.21.",Управление В25 ПК355,3388
95520,Диспетчерский контроль,Переключатель,"257-3.2.2.22.",Управление В26 ПК371,3388
95521,Диспетчерский контроль,Переключатель,"257-3.2.2.25.",Управление В27 ПК419,3388
95505,Диспетчерский контроль,Переключатель,"257-3.2.2.6.",Управление ФВ1 (В22),3388
95514,Диспетчерский контроль,Переключатель,"257-3.2.2.15.",Управление ФВ7 (В28),3388
95515,Диспетчерский контроль,Переключатель,"257-3.2.2.16.",Управление ФВ8 (В29),3388
95507,Диспетчерский контроль,Переключатель,"257-3.2.2.8.",Управление ФВ2 (В23),3388
95508,Диспетчерский контроль,Переключатель,"257-3.2.2.9.",Управление ФВ3 (В24),3388
95509,Диспетчерский контроль,Переключатель,"257-3.2.2.10.",Управление ФВ4 (В25),3388
95510,Диспетчерский контроль,Переключатель,"257-3.2.2.11.",Управление ФВ5 (В26),3388
95504,Диспетчерский контроль,Переключатель,"257-3.2.2.5.","Управление ФАНС (АНС ПК341, ПК371)",3388
95502,Диспетчерский контроль,Переключатель,"257-3.2.2.3.",Управление ФРО1 (ГРО23-26),3388
95503,Диспетчерский контроль,Переключатель,"257-3.2.2.4.",Управление ФРО2 (ГРО27-31),3388
95356,Диспетчерский контроль,Состояние фазы,"257-3.1.1.1.25.",ЩАП-23 Ввод1 Э/щ ПК541,3388
95332,Диспетчерский контроль,Состояние вентилятора,"257-3.1.1.1.1.", Вентилятор В30 ПК459,3388
95336,Диспетчерский контроль,Состояние вентилятора,"257-3.1.1.1.5.", Вентилятор В31 ПК474,3388
95340,Диспетчерский контроль,Состояние вентилятора,"257-3.1.1.1.9.", Вентилятор В32 ПК491,3388
95344,Диспетчерский контроль,Состояние вентилятора,"257-3.1.1.1.13.", Вентилятор В33 ПК491,3388
95357,Диспетчерский контроль,Состояние фазы,"257-3.1.1.1.26.",ЩАП-23 Ввод2 Э/щ ПК541,3388
95348,Диспетчерский контроль,Состояние вентилятора,"257-3.1.1.1.17.", Вентилятор В34 ПК510,3388
95352,Диспетчерский контроль,Состояние вентилятора,"257-3.1.1.1.21.", Вентилятор В35 ПК526,3388
95362,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.5.",ФАО1 (ПК541-447),3388
95363,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.6.",ФАО2 (ПК541-601),3388
95364,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.7.",Фидер ФВ1 (В30),3388
95373,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.24.",Фидер ФВ10 (В39),3388
95365,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.9.",Фидер ФВ2 (В31),3388
95366,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.11.",Фидер ФВ3 (В32),3388
95367,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.13.",Фидер ФВ4 (В33),3388
95368,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.15.",Фидер ФВ5 (В34),3388
95369,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.17.",Фидер ФВ6 (В35),3388
95370,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.19.",Фидер ФВ7 (В36),3388
95371,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.21.",Фидер ФВ8 (В37),3388
95372,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.23.",Фидер ФВ9 (В38),3388
95358,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.1.","Фидер ФАНС1 (АНС ПК474, ПК510)",3388
95359,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.2.",Фидер ФАНС2 (АНС ПК585),3388
95360,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.3.",ФРО1 (ГРО32-37),3388
95361,Диспетчерский контроль,Состояние фазы,"257-3.1.1.2.4.",ФРО2 (ГРО38-41),3388
95374,Диспетчерский контроль,Состояние насоса,"257-3.1.1.3.3.",АНС Н1,3388
95375,Диспетчерский контроль,Состояние насоса,"257-3.1.1.3.6.",АНС Н2,3388
95376,Диспетчерский контроль,Состояние насоса,"257-3.1.1.3.9.",АНС Н3,3388
95377,Диспетчерский контроль,Состояние насоса,"257-3.1.1.3.12.",АНС Н1,3388
95378,Диспетчерский контроль,Состояние насоса,"257-3.1.1.3.15.",АНС Н2,3388
95379,Диспетчерский контроль,Состояние насоса,"257-3.1.1.3.18.",АНС Н3,3388
95380,Диспетчерский контроль,Состояние фазы,"257-3.1.1.3.19.",Группа ГРО32 ПК447-459,3388
95381,Диспетчерский контроль,Состояние фазы,"257-3.1.1.3.20.",Группа ГРО33 ПК459-474,3388
95382,Диспетчерский контроль,Состояние фазы,"257-3.1.1.3.21.",Группа ГРО34 ПК474-491,3388
95383,Диспетчерский контроль,Состояние фазы,"257-3.1.1.3.22.",Группа ГРО35 ПК491-509,3388
95384,Диспетчерский контроль,Состояние фазы,"257-3.1.1.3.23.",Группа ГРО36 ПК509-526,3388
95385,Диспетчерский контроль,Состояние насоса,"257-3.1.1.4.3.",АНС Н1,3388
95386,Диспетчерский контроль,Состояние насоса,"257-3.1.1.4.6.",АНС Н2,3388
95387,Диспетчерский контроль,Состояние насоса,"257-3.1.1.4.9.",АНС Н3,3388
95405,Диспетчерский контроль,Состояние вентилятора,"257-3.1.1.4.27.",Вентилятор В39 ПК585+5,3388
95393,Диспетчерский контроль,Состояние вентилятора,"257-3.1.1.4.15.",Вентилятор В36 ПК557,3388
95397,Диспетчерский контроль,Состояние вентилятора,"257-3.1.1.4.19.",Вентилятор В37 ПК572,3388
95401,Диспетчерский контроль,Состояние вентилятора,"257-3.1.1.4.23.",Вентилятор В38 ПК585,3388
95392,Диспетчерский контроль,Состояние фазы,"257-3.1.1.4.14.",Группа ГРО41 ПК585-601,3388
95388,Диспетчерский контроль,Состояние фазы,"257-3.1.1.4.10.",Группа ГРО37 ПК526-541,3388
95389,Диспетчерский контроль,Состояние фазы,"257-3.1.1.4.11.",Группа ГРО38 ПК541-557,3388
95390,Диспетчерский контроль,Состояние фазы,"257-3.1.1.4.12.",Группа ГРО39 ПК557-572,3388
95391,Диспетчерский контроль,Состояние фазы,"257-3.1.1.4.13.",Группа ГРО40 ПК572-585,3388
95421,Диспетчерский контроль,Переключатель,"257-3.1.2.19.",Управление ФАО1 (ПК541-447),3388
95422,Диспетчерский контроль,Переключатель,"257-3.1.2.20.",Управление ФАО2 (ПК541-601),3388
95423,Диспетчерский контроль,Переключатель,"257-3.1.2.21.","Управление ФАНС1 (АНС ПК474, ПК510)",3388
95424,Диспетчерский контроль,Переключатель,"257-3.1.2.22.",Управление ФАНС2 (АНС ПК585),3388
95419,Диспетчерский контроль,Переключатель,"257-3.1.2.17.",Управление ФРО1 (ГРО32-37),3388
95420,Диспетчерский контроль,Переключатель,"257-3.1.2.18.",Управление ФРО2 (ГРО38-41),3388
95442,Диспетчерский контроль,Состояние фазы,"257-3.2.1.1.10.",Фидер ФВ2 (В23),3388
95513,Диспетчерский контроль,Переключатель,"257-3.2.2.14.",Управление ФВ6 (В27),3388
